5 	 29459.0 	 29459.0 	 4.8 	 1.4 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
6 	 22843.0 	 22843.0 	 4.8 	 1.4 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
7 	 18990.0 	 18990.0 	 3.8 	 1.1 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
8 	 16777.0 	 16777.0 	 3.8 	 1.1 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
9 	 16895.0 	 16895.0 	 4.1 	 1.2 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
10 	 21426.0 	 21426.0 	 4.1 	 1.2 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
11 	 32367.0 	 32367.0 	 3.0 	 0.5 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
12 	 51196.0 	 51196.0 	 3.0 	 0.5 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
13 	 72609.0 	 72609.0 	 2.3 	 0.4 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
14 	 91527.0 	 91527.0 	 2.3 	 0.4 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
15 	 94594.0 	 94594.0 	 2.3 	 0.5 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
16 	 100307.0 	 100307.0 	 2.3 	 0.5 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
17 	 112032.0 	 112032.0 	 5.0 	 0.7 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
18 	 129844.0 	 129844.0 	 5.0 	 0.7 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
19 	 145817.0 	 145817.0 	 9.6 	 0.9 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
20 	 156253.0 	 156253.0 	 9.6 	 0.9 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
21 	 166253.0 	 166253.0 	 13.8 	 1.1 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
22 	 172683.0 	 172683.0 	 13.8 	 1.1 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
23 	 170993.0 	 170993.0 	 15.8 	 2.0 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
24 	 163177.0 	 163177.0 	 15.8 	 2.0 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
25 	 157951.0 	 157951.0 	 18.0 	 1.1 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
26 	 157099.0 	 157099.0 	 18.0 	 1.1 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
27 	 158619.0 	 158619.0 	 18.8 	 1.0 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
28 	 165424.0 	 165424.0 	 18.8 	 1.0 	 [1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.] 	 False
